"AAPL","Apple Inc.",508.19,12.58,40.106,2.71,3.72
"NOK","Nokia Corporation",7.12,N/A,-0.443,0.76,2.74
"YHOO","Yahoo! Inc.",33.355,9.02,3.632,6.93,2.53
"MSFT","Microsoft Corpora",34.91,13.53,2.58,3.74,3.68
