Symbol	Description
GXS	Goldsource Mines Inc.
GXY	Galaxy Capital Corp
GYG	Guyana Frontier Mining Corp
GZD	Grizzly Discoveries Inc
GZZ	Golden Valley Mines Ltd.
HA	Hodgins Auctioneers Inc.
HAO	Habanero Resources Inc.
HBE	Hornby Bay Mineral Exploration Ltd
HBK	Highbank Resources Ltd.
HBY	Hunter Bay Minerals Plc
HDA	Huldra Silver Inc.
HDG	High Desert Gold Corporation
HEI	Huntington Exploration Inc
HEL	Hellix Ventures Inc
HEO	H2O Innovation Inc.
HET.H	Htn Inc
HFI	Hermes Financial Inc.
HGO	Hawkeye Gold & Diamond Inc.
HHT.P	Hht Investments Inc
HI	Highland Copper Company Inc
HIP	Highpointe Exploration Inc
HJI	Helijet International Inc.
HK	Huakan International Mining Inc.
HLM	Houston Lake Mining Inc
HMB	Humboldt Capital Corp.
HME	Hemisphere Energy Corporation
HMI	Hinterland Metals Inc.
HML	New Hana Copper Mining Ltd
HMT	Halmont Properties Corp
HMX	Hunt Mining Corp.
HN	High North Resources Ltd.
HOM.P	Hombre Capital Inc
HOP	Telehop Communications Inc.
HPI	Highbury Projects Inc.
HPY	Happy Creek Minerals Ltd.
HRC	Helio Res Corp.
HRE	Stans Energy Corp
HRH	Hillcrest Resources Ltd
HRL	Hansa Resources Limited
HRM	Hudson River Minerals Ltd
HRN	Horn Petroleum Corporation
HRN.WT	Horn Petroleum Corp Wts
HRP	Hrt Participacoes EM Petroleo Sa
HSR	Homestake Resource Corp
HTC	Htc Purenergy Inc.
HTL	Hamilton Thorne Ltd
HTR	Heatherdale Resources Ltd.
HUA	Huaxing Machinery Corp
HUD	Hudson Resources Inc.
HVG	Harvest Gold Corp.
HVV	Highvista Gold Inc
HWK.A	Hawk Exploration Ltd
HWK.B	Hawk Exploration Ltd. Cl. B
HWY	Highway 50 Gold Corp
HXC	Hfx Holding Corp
HYX	Hyperion Exploration Corp
IB	Ibc Advanced Alloys Corp.
IBC	International Bethlehem Mining Corp.
IBH	International Barrier Technology Inc.
IBT	Ibex Technologies Inc.
IC	Innovative Composites Intl Inc.
ICG	Integra Gold Corp.
ICM	Iconic Minerals Ltd
ICO	Ico Therapeutics Inc
IDI	Indico Resources Ltd.
IDW	Id Watchdog Inc.
IEC	International Enexco Limited
IEI	Imperial Equities Inc.
IFA	Ifabric Corp
IFM	Infrastructure Materials Corp
IFN	Infinity Minerals Corp
IFR	International Frontier Resources Corpora
IFX	Imaflex Inc
IG	Infinito Gold Ltd.
IGD	Intigold Mines Ltd
IGE	Innovente Inc
IGO	Independence Gold Corp
IGP	Imperial Ginseng Products Ltd
IGP.PR.A	Imperial Ginseng Products Ltd Pref A
IGX	Intelgenx Technologies Corp.
ILA	Ilookabout Corp
ILC	International Lithium Corp
ILE	Iledor Exploration Corporation
IMA	I-Minerals Inc.
IMI	International Millennium Mining Corp.
IMM	Immunotec Inc.
IMT	International Montoro Res. Inc.
IMU	Biommune Technologies Inc
IMV	Immunovaccine Ince
INA	Iona Energy Inc
INL	Inlet Resources Ltd
INM	International Northair Mines Ltd.
INP	Input Capital Corp
INT	Intertainment Media Inc.
INX	In-Touch Survey Systems Ltd
IO	Inca One Metals Corp
IOG	Ironhorse Oil & Gas Inc.
IOT	Innovotech Inc
IPC	Iplayco Corporation Ltd
IPD	Intl Parkside Products Inc.
IPT	Impact Silver Corp.
IQ	Airiq Inc.
IRI	Iemr Resources Inc
IRN	Iron Creek Capital Corp.
IRO	Inter-Rock Minerals Inc.
IRR	Inform Resources Corp
IS	Iron South Mining Corp
ISD	Isign Media Solutions Inc
ISS	International Samuel Exploration Corp.
ITM	Intema Solutions Inc
IVI	Ivrnet Inc
IVO	Invenio Resources Corp.
IVX	Inventronics Limited
IWG	International Water-Guard Industries Inc
IXI	Indigo Exploration Inc.
JAI.P	Jdv Capital Corp
JAU	Jet Gold Corp
JAX	Jaxon Minerals Inc
JCI.P	Java Capital Inc
JDL	Lowell Copper Ltd
JFI	Falkirk Resources Corp.
JIM	Jiminex Inc.
JLR	Jiulian Resources Inc.
JMC	Josephine Mining Corp
JML	J.A.G. Ltee [Les Mines]
JNX	Junex Inc.
JOC	Jadela Oil Corp
JOR	Jourdan Resources Inc
JSP	Jasper Mining Corporation
JTC	Jemtec Inc
JUB	Jubilee Gold Inc.
JX	TSX Venture Composite Index
JZR	Jazz Resources Inc.
KAM	Kaminak Gold Corporation
KAR	Karmin Exploration Inc
KAS	Khalkos Exploration Inc
KBA.P	Killbear Acquisition Corp
KBG	King S Bay Gold Corp.
KBT	Kombat Copper Inc
KCC	Kincora Copper Limited
KCT	Kensington Court Ventures Inc
KDI	Kennady Diamonds Inc
KEC	Kallisto Energy Corp
KES	Kesselrun Resources Ltd
KEX	Kent Exploration Inc.
KFG	Kfg Resources Ltd.
KG	Klondike Gold Corp
KGC	Kestrel Gold Inc
KGF	King George Financial Corp
KGL	Kilo Goldmines Ltd.
KHA	Knighthawk Inc.
KIT	Kitrinor Metals Inc
KIV	Kivalliq Energy Corporation
KKV	Kanosak Capital Venture Corp
KLE	Kingsland Energy Corp
KLG	Kalimantan Gold Corp Ltd
KLH	Stellar Biotechnologies Inc
KLM	Kermode Resources Ltd.
KLS	Kelso Technologies Inc.
KM	Kola Mining Corp.
KMI	Killdeer Minerals Inc
KNA	Kenna Resources Corp
KNE	Kane Biotech Inc
KNO.H	Cellstop Systems Inc
KNX	Knick Exploration Inc.
KRR	Kettle River Resources Ltd
KS	Klondike Silver Corp
KSK	Kiska Metals Corporation
KSM	Kingsman Resources Inc.
KTN	Kootenay Gold Inc.
KUB	Cub Energy Inc
KUT	Redishred Capital Corp.
KWG	Kwg Resources Inc.
KXM	Kobex Minerals Inc
KYU	Kaiyue International Inc
KZN.H	Kaizen Capital Corp
KZX	Kazax Minerals Inc
KZZ	Nunavik Nickel Mines Ltd
LA	Los Andes Copper Limited
LAD	New Carolin Gold Corp
LAK	Lakeside Minerals Inc
LAN	Declan Resources Inc
LAQ	La Quinta Resources Corp.
LAR	La Ronge Gold Corp
LAT	Latin American Minerals Inc
LCC	Lumina Copper Corp.
LCO	Lagasco Corp.
LCP	Lateral Capital Corp
LCY	Southern Legacy Minerals Inc
LDM	Lago Dourado Minerals Ltd.
LEA	Leader Energy Services Ltd.
LEC	Lignol Energy Corporation
LED	Crs Electronics Inc.
LG	Lions Gate Energyinc.
LGD	Lund Gold Ltd
LGF	Laurentian Goldfields Ltd
LGM	Lions Gate Metals Inc.
LGO	Largo Resources Ltd.
LGR	Logan Resources Ltd
LHC	Long Harbour Exploration Corp.
LHR	Lakeview Hotel Invest Corp
LHR.DB.C	Lakeview Hotel REIT 6.50% Debs
LHR.DB.D	Lakeview Hotel REIT 8.5% Debs Series D
LHR.WT	Lakeview Hotel REIT Wts
LIO	Lion One Metals Limited
LK	Lakeland Resources Inc
LKW	Lakewood Mining Co. Ltd
LKY	Lucky Strike Resources Ltd.
LL	Rare Earth Metals Inc.
LLC	Lorraine Copper Corp
LLG	Mason Graphite Inc
LM	Lingo Media Corporation
LMD	Led Medical Diagnostics Inc
LME	Laurion Mineral Exploration Inc.
LMG	Lincoln Mining Corporation
LMR	Lomiko Metals Inc.
LNE	Loon Energy Corporation
LNG	Lng Energy Ltd.
LO	Lounor Exploration Inc.
LOI	Longreach Oil And Gas Limited
LOT	Tomagold Corporation
LOY	Loyalist Group Limited
LPS	Legend Power Systems Inc.
LQD	Liquid Nutrition Group Inc
LQD.WT	Liquid Nutrition Group Inc
LRA	Lara Exploration Ltd
LRC	Lovitt Resources Inc.
LRL	Luxor Industrial Corporation
LSI	Lonestar West Inc.
LTH	Lithic Resources Ltd
LTV	Leonovus Inc
LTX	Labrador Tech Inc.
LVH	Las Vegas From Home.Com Entertainment In
LVL	Lynden Energy Corp.
LWI.H	Lw Capital Pool Inc
LXV	Lx Ventures Inc
M	Mosaic Capital Corporation
M.PR.A	Mosaic Capital Corp Pref A
MAC	Themac Resources Group Limited
MAD	Miranda Gold Corp.
MAE	Maritime Resources Corp
MAH	Marksmen Energy Inc
MAN	Monster Mining Corp
MAO	Maudore Minerals Ltd.
MAS	Masuparia Gold Corp
MAT	Matamec Explorations Inc.
MAU	Mexigold Corp
MAZ.H	Mazarin Inc Com Npv
MBG	Malbex Resources Inc.
MBI	Med Biogene Inc.
MC	Mill City Gold Corp
MCC	Magor Corporation
MCK	Manson Creek Resources Ltd.
MCR	Macro Enterprises Inc
MCU	Mega Copper Ltd.
MCV	Mcvicar Industries Inc
MCW	Mcw Enterprises Ltd
MD	Midland Exploration Inc.
MDC.P	Madison Capital Corp
MDL	Medallion Resources Ltd.
MDO	Manado Gold Corp
MDV	Megastar Development Corp
MDX	Medx Health Corp.
MED	Medgold Resources Corp
MEI	Manitok Energy Inc.
MEK	Metals Creek Resources Corp.
MEN	Magnum Energy Inc.
MES	Marauder Resources East Coast Inc.
MEX	Midlands Minerals Corp.
MFM	Marifil Mines Ltd.
MFS	Medifocus Inc
MFX	Minfocus Exploration Corp
MGC	Midasco Capital Corp
MGG	Minaurum Gold Inc.
MGP	Mega Precious Metals Inc
MGR	Murgor Resources Inc
MGS	Musgrove Minerals Corp
MGW	Maple Leaf Green World Inc
MHI	Mineral Hill Industries Inc
MIB	Minaean International Corp.
MII	Miocene Metals Limited
MIK	Matnic Resources Inc
MIN	Excelsior Mining Corp
MIO	Mindoro Resources Ltd
MIR	Medmira Inc
MIT	Mint Technology Corp.
MIX	Micrex Development Corp
MJO	Mainstream Minerals Corporation
MJS	Majestic Gold Corp.
MJX	Majescor Resources Inc.
MKA	Mkango Resources Ltd
MKN	Makena Resources Inc
MKR	Melkior Resources Inc
MKU	Mukuba Resources Limited
MLM	Millstream Mines Ltd.
MLN	Marlin Gold Mining Ltd
MLR	Melior Resources Inc
MLY	American Cumo Mining Corporatio
MMA	Midnight Sun Mining Corp
MMI	Messina Minerals Inc.
MML	Menika Mining Ltd [N.P.L.]
MMR	Madison Minerals Inc
MMT	Mart Resources Inc
MMV	Mineral Mountain Resources Ltd.
MMX	Macmillan Minerals Inc
MMY	Monument Mining Limited
MNH	Mena Hydrocarbons Inc
MNM	Magellan Minerals Ltd.
MNP	Manas Petroleum Corp
MO.P	Montan Capital Corp
MOB.DB	Northwest Intl Healthcare 6.50
MOB.DB.A	Northwest Intl Healthcare Prop Debs A
MOB.UN	Gt Canada Medical Properties REIT
MOC	Morumbi Oil & Gas Inc
MOI.P	Mincom Capital Inc
MOK	Moss Lake Gold Mines Ltd
MOM	Miraculins Inc.
MON	Montero Mining
MOX	Morien Resources Corp
MP	Microplanet Technology Corp.
MPH	Medicure Inc
MPL.P	Maple Leaf Resource Corp
MPS	Mph Ventures Corp.
MPT	Midpoint Holdings Ltd
MQL	Marquee Energy Ltd
MQR	Monarques Resources Inc
MRL	Margaux Resources Ltd
MRO	Millrock Resources Inc.
MRP	Mira Resources Corp
MRR	Mrrm Inc.
MRV	Metallum Resources Inc.
MRW.P	Morro Bay Capital Ltd
MRZ	Mirasol Resources Ltd.
MSA	Mesa Exploration Corp
MSC	Meridex Software Corporation
MSR	Minsud Resources Corp.
MTB	Mountain Boy Minerals Ltd.
MTC	Metalcorp Ltd.
MTH	Mammoth Resources Corp
MTM.H	Mitec Technologies Inc.
MTO	Metanor Res Inc.
MTR.P	Mantra Capital Inc
MTS	Metallis Resources Inc
MTU	Manitou Gold Inc
MTX	Metalex Ventures Ltd.
MTZ	Montana Exploration Corp
MU	Monster Uranium Corp.
MUM	Mustang Minerals Corp.
MUN	Mundoro Capital Inc
MV.H	Mercari Acquisition Corp
MVC.H	Mpvc Inc
MVN	Madalena Ventures Inc.
MVW	Mountainview Energy Ltd.
MWC	Medwell Capital Corp
MWX	Medworxx Solutions Inc.
MXC.P	Margaux Red Capital Inc
MXI	Merrex Gold Inc.
MXM	Maxim Resources Inc.
MXR	Max Res Corp
MXX	Matrrix Energy Technologies Inc
MYA	Maya Gold & Silver Inc.
MZO	Mazorro Resources Inc.
N	Next Gen Metals Inc
NAA	Naina Capital Corp
NAH	Natunola Agritech Inc
NAI	Northern Abitibi Mng Corp
NAN	North American Nickel Inc
NAP	Napier Ventures Inc
NAR	North Arrow Minerals Inc.
NAV	Navasota Resources Inc
NB	Niocorp Developments Ltd.
NBR	Nubian Resources Ltd
NBU	Nebu Resources Inc.
NCE	Nesscap Energy Inc
NCG	North Country Gold Corp
NCI	Ntg Clarity Networks Inc
NCO	Nuvolt Corporation Inc
NCR	Northcore Resources Inc
NCX	Northisle Copper And Gold Inc
NDR	New Dimension Resources Ltd.
NE	Nextraction Energy Corp
NED	New Destiny Mining Corporation
NEE	Northern Vertex Mining Corp
NEI	Netco Silver Inc
NEL.UN	Nobel Real Estate Investment Trust
NEO.H	Neodym Technologies Inc.
NER	Newmac Resources Inc.
NES	Newstrike Capital Inc
NET	Network Exploration Ltd.
NEV	Nevada Sunrise Gold Corporation
NFC	Northern Financial Corporation
NFD.A	Northfield Capital Corp. Cl.A Rv
NFE	Northern Iron Corp
NFK	Africa Hydrocarbons Inc
NFR	Northern Freegold Resources Ltd.
NFX	Nexgen Financial Corporation
NGC	Northern Graphite Corporation
NGE	Nevada Exploration Inc.
NGH	Nightingale Informatix Corp.
NGM	Northern Gold Mining Inc.
NGY	Newcastle Energy Corp
NHK	Nighthawk Gold Corp
NIA.P	Niagara Ventures Corporation
NIK	Nikos Explorations Ltd.
NIR	Noble Iron Inc
NK	New Klondike Exploration Ltd
NKL	Prophecy Platinum Corp
NKW	Naikun Wind Energy Group Inc.
NL	Northern Lion Gold Corp
NMD	Nomad Ventures Inc
NMG	Noble Metal Group Inc
NMX	Nemaska Exploration Inc.
NNA	New Nadina Explorations Limited
NNN.H	Nimin Energy Corp
NNP	Newnorth Projects Ltd
NNX	Nickel North Exploration Corp
NOB	Noble Mineral Exploration Inc
NOG	Nordic Oil & Gas Ltd.
NOL	Knol Resources Corp
NOR	North Group Finance Limited
NOT	Noront Resources Ltd.
NOU	Nouveau Monde Mining Enterprise
NOW	Asia Now Resources Corp.
NOX	Niogold Mining Corp.
NPA	Alphinat Inc.
NPD	North American Potash Developments Inc
NPH	Nuva Pharmaceuticals Inc
NQ	Northquest Ltd.
NQE	Nq Exploration Inc.
NR	Newstrike Resources Ltd.
NRC	Nmc Resource Corporation
NRL	Natan Resources Ltd
NRM	Noram Ventures Inc
NRN	Northern Shield Resources Inc
NRT	Big North Capital Inc
NRZ.H	Norzan Enterprises Ltd
NS	Northern Spirit Resources Inc.
NSE.H	Northern Sun Exploration Company Inc
NSP	Naturally Splendid Enterprises
NST	North Sur Resources Inc
NSX	Nsgold Corporation
NSY	Nsx Silver Inc
NTC	North American Tungsten Corporation Ltd.
NTE	Network Media Group Inc
NTN	Newton Energy
NTR	Northern Tiger Resources Inc.
NTS	Nanotech Security Corp
NTV	Northaven Resources Corp
NUG	Nulegacy Gold Coporation
NUK	North Sea Energy Inc
NVC	Neovasc Inc
NVK	Novik Inc
NVM	Nevada Clean Magnesium Inc
NVS	Novus Energy Inc.
NVT	Nortec Ventures Corp.
NVX	Nv Gold Corporation
NW	New World Resources Corp
NWE	New West Energy Services Inc
NWG	Newton Gold Corp
NWM	Nwm Mining Corporation
NWN	Nwest Energy Inc
NWX	Newport Exloration Ltd
NX	Noka Resources Inc
NXE	Nexgen Energy Ltd
NXG	Nexgenrx Inc
NXI.H	Nxa Inc
NXT	Natcore Technology Inc.
NXX	Nordex Explosives Ltd
NZ	New Zealand Energy Corp
NZZ	Nitinat Minerals Corporation
OCN	Oceanus Resources Corp
OCO	Oroco Resource Corp.
ODN	Odin Mining And Exploration Ltd
ODS	Odesia Group Inc.
ODX.H	Odyssey Resources Ltd
OEC	Oracle Energy Corp
OEG	Onenergy Inc
OEG.A	Onenergy Inc Cl A
OEL	Octant Energy Corporation
OIL	Lgx Oil And Gas Inc
OLV	Olivut Resources Ltd.
OLY	Olympia Financial Group Inc.
OML	Omni-Lite Industries Canada Inc.
OMM	Omineca Mining And Metals Ltd
OOI	Oil Optimization Inc
OOO	Otis Gold Corp.
OPA.H	Opal Energy Corp
OPG	Open Gold Corp
OPS	Opsens Inc.
OPW	Opawica Explorations Inc
OPX.H	Outdoorpartner Media Corporatio
ORC.B	Orca Exploration Group Inc. Cl B
ORG	Orca Gold Inc
ORN	Orsa Ventures Corp.
ORO	New Oroperu Resources Inc.
ORR	Orofino Minerals Inc
ORS	Orestone Mining Corp.
ORX	Orefinders Resources Inc
OVR	Golden Alliance Resources Corp
OVT	Oculus Visiontech Inc
OX	Orex Exploration Inc.
OY	Oyster Oil And Gas Ltd
OYL	Cgx Energy Inc.
PAD	Parta Dialogue Inc
PAK	Pacific Coal Resources Ltd
PAL	Parallel Mining Corp
PAN	Pangolin Diamonds Corp
PAO	Gondwana Gold Inc
PAU	Papuan Precious Metals Corp
PAV	Pacific Arc Resources Ltd Com
PAW	Pacific Wildcat Resources Corp.
PBA.H	Petro Basin Energy Corp
PBM	Pacific Bay Minerals Ltd
PBS	Pacgen Life Science Corporation
PBX	International Pbx Ventures Ltd.
PC	Pacificore Mining Corp
PCG.H	Petrocorp Group Inc
PCI	Perlite Canada Inc.
PCK	Poplar Creek Resource Inc
PCM	Pacific Comox Resources Ltd.
PCO	Phoenix Canada Oil Company Limi
PCQ	Petrolympic Ltd.
PCS	Platinum Communications Corp.
PCV	Pacific Cascade Minerals Inc
PDE.H	Palo Duro Energy Inc
PDQ	Petrodorado Energy Ltd
PDR.H	Pounder Venture Capital Corp
PE	Pure Energy Minerals Limited
PEA	Petrolia Inc.
PEC	Porto Energy Corp
PED.H	Pedro Resources Ltd
PEH	Primeline Energy Holdings Inc.
PEM	Premium Exploration Inc.
PEN	Pennant Energy Inc
PEO	People Corporation
PEP	Petrostar Petroleum Corp
PET	Peat Resources Ltd.
PEX	Pacific Ridge Exploration Ltd.
PF	Prima Fluorspar Corp
PFC	Petrofrontier Corp.
PFE	Pan American Fertilizer Corp
PFI	Petroforte International Ltd
PFM	Prontoforms Corporation
PGK	Png Gold Corporation
PGN.H	Pgnx Capital Corp
PGS	Paget Minerals Corp.
PGX	Progress Energy Ltd
PGZ	Pan Global Resources Inc.
PHC	Phoenix Copper Corporation
PHI	Philippine Metals Inc
PHM	Patient Home Monitoring Corp
PHO	Photon Control Inc
PI	Paris Energy Inc.
PIE	Primary Petroleum Corporation
PIT	Pitchblack Resources Ltd
PJT	Partner Jet Corp.
PJX	Pjx Resources Inc
PKC.H	Pacific Link Mining Corp.
PKK	Peak Positioning Technologies Inc
PKS	Parkside Resources Corporation
PLA	Plata Latina Minerals Corp
PLC	Park Lawn Corporation
PLL	Palladon Ventures Ltd
PLP.P	Plicit Capital Corp
PLR	Plate Resources Inc
PLY	Playfair Mining Ltd.
PM	Prism Medical Ltd.
PMI	Petromanas Energy Inc.
PMI.WT	Petromanas Energy Inc Warrants
PML	Panoro Minerals Ltd
PMO.H	Prime City One Capital Corp
PMR	Prime Meridian Resources Corp
PNA	Petronova Inc
PNE	Pine Cliff Energy Inc.
PNN	Pennine Petroleum Corporation
PNO.H	Prescient Neuropharama Inc
PNR.H	Prince Resource Corp
POC	Pacific Iron Ore Corporation
POE	Pan Orient Energy Corp.
POH.H	Planet Organic Health Corp
POI	Pro-Or Inc. [Ressources Minieres]
POP	Petro One Energy Corp
PP	Pacific Potash Corporation
PPE	Pacific Paradym Energy Inc.
PPG	Prosperity Goldfields Corp
PPI	Passport Potash Inc.
PPM.H	Pacific Imperial Mines Inc.
PPO	Passport Energy Ltd
PPP	Parlane Resource Corp
PPX	Peruvian Precious Metals Corp
PPY	Painted Pony Petroleum Ltd. Class A
PRB	Probe Mines Ltd.
PRC	Panterra Resource Corp
PRD	Prd Energy Inc
PRG	Precipitate Gold Corp
PRH	Pearl River Holdings Ltd.
PRO	Pershimco Resources Inc.
PRS.H	Prism Res Inc.
PRV.UN	Pro Real Estate Investment Trus
PRY	Pinecrest Energy Inc.
PRZ.H	Prize Mining Corp
PSH	Petroshale Inc
PSL	Prospero Silver Corp.
PSP	Pacific Safety Products Inc.
PST	Pistol Bay Mining Inc
PTA	Petroamerica Oil Corp.
PTA.WT	Petroamerica Oil Corp.
PTA.WT.B	Petroamerica Oil Corp Wts B
PTC	Petrox Capital Corp
PTE	Pioneering Technology Corp
PTF	Pender Growth Fund Vcc Inc.
PTG	Pivot Technology Solutions Inc
PTK	Poet Technologies Inc.
PTL	Petra Petroleum Inc
PTP	Petrichor Energy Inc
PTR	Petromin Resources Ltd.
PTU	Purepoint Uranium Group Inc.
PTV	Petro Vista Energy Corp.
PTX	Platinex Inc
PUC	Pancontinental Uranium Corporation
PUM	Puma Exploration Inc
PV	Providence Resources Corp
PVF	Partners Value Fund Inc
PVH	Pacific Vector Holdings Inc.
PVI	Pro Trans Ventures Inc.
PVX	Pantheon Ventures Ltd
PX	Pelangio Exploration Inc.
PXI	Planet Exploration Inc.
PXL	Palliser Oil And Gas Corporation
PXR	Prominex Resource Corp
PYR	Pyrogenesis Canada Inc
PYT	Pyng Medical Corp.
PZ	Portola Resources Inc
PZE	Platino Energy Corp
Q.A	Questfire Energy Corp Cl A
Q.B	Questfire Energy Corp Cl B
QHR	Qhr Technologies Inc.
QIA	Quia Resources Inc.
QIS	Quorum Information Technologies Inc.
QIT	Quinto Real Capital Corporation
QMC	Qmc Quantum Minerals Corp
QPT	Quest Pharmatech Inc.
QQ	Quizam Media Corporation
QR	Quanta Resources Inc
QRL.P	Quartet Resources Limited
QRO	Quadro Resources Ltd
QST	Questor Technology Inc.
QTA	Quaterra Resources Inc.
QXP	Quattro Exploration And Production Ltd
QZM	Quartz Mountain Resources Ltd
RAB	Rambler Metals And Mining Plc
RAK	Rackla Metals Inc
RAU.H	Regency Gold Corp.
RB	Russell Breweries Inc
RBE	Rockbridge Resources Inc.
RBG	Rebgold Corporation
RBW	Rainbow Resources Inc
RBX	Robex Resources Inc.
RCN	Radiant Communications Corp.
RCR	Rockcliff Resources Inc
RCT	Rochester Resources Ltd
RCZ	Rio Cristal Resources Corporation
RD	Red Eagle Mining Corp
RDM	Red Mile Minerals Corp.
RDS	Radisson Mining Resources Inc.
RDU	Radius Gold Inc.
RDX	Rdx Technologies Corporation
REC	Rec Minerals Corp
RED	Redwater Energy Corp
REE	Reef Resources Ltd.
REG	Regulus Resources Inc
REK	Reko International Group Inc
REM	Remstar Resources Ltd.
REO	Reservoir Capital Corp.
REV	Regent Ventures Ltd.
REX	Orex Minerals Inc
RFC	Rifco Inc.
RG	Romios Gold Resources Inc
RGC	Redstar Gold Corp.
RGD	Reunion Gold Corporation
RGE	Rheingold Exploration Corp
RGI	Reco International Group Inc.
RGV	Rio Grande Mining Corp
RGX	Argex Mining Inc.
RGZ	Randsburg International Gold Corp.
RHA	Annidis Corporation Com
RHR	Redhill Resources Corp.
RIF.H	Rift Basin Resources Corp
RJX.A	Rjk Explorations Ltd. Cl.A Sv
RK	Rockhaven Resources Ltd.
RKG.H	Roadking Travel Centres Inc.
RKR	Rokmaster Resources Corp
RL	Rockland Minerals Corp
RLE	Ridgeline Energy Services Inc.
RLI.H	Redline Resources Inc.
RM	Rodinia Lithium Inc.
RMC	Reservoir Minerals Inc
RMD	Richmond Minerals Inc.
RMG	Rainmaker Mining Corp
RMK	Red Moon Potash Inc
RMN	Red Tiger Mining Inc
RMO	Rainy Mountain Royalty Corp.
RMR	Rome Resources Ltd
RMS	Rms Systems Inc.
RMT	Raimount Energy Inc
RNK	Rainmaker Entertainment Inc.
RNZ	Ranaz Corporation
ROB	Red Hut Metals Inc
ROG	Roxgold Inc.
ROI	Route1 Inc.
ROM	Romulus Resources Ltd.
ROR	Run Of River Power Inc.
ROT	Rotation Minerals Ltd
ROU	Rouge Resources Ltd
ROX	Canstar Resources Inc.
ROY.H	Royce Resources Corp
ROZ	Rodinia Oil Corp.
RPC	Raise Production Inc
RPL	Renegade Petroleum Ltd.
RPM	Rye Patch Gold Corp
RPR	Rapier Gold Inc
RPT	Arpetrol Ltd
RPX	Red Pine Exploration Inc
RQM.H	Redquest Capital Corp
RRC	Rockridge Capital Corp.
RRE	Reg Technologies Inc
RRI	Riverside Resources Inc.
RRK	Red Rock Energy Inc
RRL	Relentless Resources Ltd
RRM	Ross River Minerals Inc.
RRS	Rogue Resources Inc
RSA.P	Rosa Capital Inc
RSL	Royal Sapphire Corp
RSY	Rsi International Systems Inc.
RTH	Rathdowney Resources Ltd
RTM	Rt Minerals Corp
RTZ	Redtail Metals Corp
RUF.DB.U	Pure Multi Family REIT Lp 6.5 Pct Dbs
RUF.U	Pure Multi Family REIT Lp
RUG	Rugby Mining Limited
RUM	Rocky Mountain Liquor Inc
RUM.DB	Rocky Mountain Liquor Inc 7.75
RUN	Running Fox Resource Corp.
RUP	Rupert Resources Ltd.
RVA	Reva Resources Corp
RW	Renoworks Software Inc.
RX	Biosyent Inc.
RYE	Rhyolite Resources Ltd
RYG	Ryan Gold Corp.
RYO	Rio Silver Inc
RYS.H	Rhys Resources Ltd
RYU	Respect Your Universe Inc
RZ	Revolver Resources Inc
RZZ	Abitibi Royalties Inc
SA	Southern Arc Minerals Inc.
SAE	Sable Resources Ltd.
SAG	Sabre Graphite Corp
SAH	Sahara Energy Ltd
SAI	Sunshine Agri Tech Inc.
SAN	San Antonio Ventures Inc
SAR.H	Saratoga Electronic Solutions Inc
SAT	Asian Television Network Intern
SAX	Samaranta Mining Corp
SAY	Sparta Capital Ltd
SB	Stratabound Minerals Corp
SBG.P	Spirit Bear Capital Corp
SBL	Santa Barbara Resources Limited
SBM	Sirona Biochem Corp.
SBO.H	Schwabo Capital Corp
SBW	Strongbow Exploration Inc.
SBX	Sea Breeze Power Corp
SCA	Savary Gold Corp
SCD	Samoth Oilfield Inc.
SCG	Selectcore Ltd.
SCG.WT	Selectcore Ltd Wts
SCM	Sacre-Coeur Mineralsltd.
SCN.H	Strachan Resources Ltd
SCR	Score Media Inc. Cl.A Sv
SCZ	Santa Cruz Silver Mining
SDE	Standard Exploration Ltd
SDN	Sedex Mining Corp.
SDR	Stroud Resources Ltd
SDS	Seair Inc.
SDW	Sofame Technologies Inc
SDX	Sea Dragon Energy Inc.
SEB	Whiteknight Acquisition Inc Com
SEI	Shane Res Ltd.
SEK	Secova Metals Corp.
SEL	Penfold Capital Acquisition IV
SER	Serenic Corporation
SEV	Chrysalis Capital ViII Corporat
SEW	Seaway Energy Services Inc.
SF	Silver Fields Resources Inc.
SFC	Solutions4Co2 Inc
SFD	Nxt Energy Solutions Inc.
SFF	Seafield Resources Ltd.
SFM	Santa Fe Metals Corp.
SFT	Softrock Minerals Ltd
SGA	Samco Gold Limited
SGC	Sunridge Gold Corp
SGC.WT	Sunridge Gold Corp Wts
SGD	Simba Gold Corp
SGE	Strategem Capital Corp
SGG	Snipgold Corp
SGH	Standard Graphite Corporation
SGI	Sagres Energy Inc
SGK.P	Springrock Capital Inc
SGM	Sutter Gold Mining Inc.
SGN	Scorpio Gold Corporation
SGU	Signature Resources Ltd
SGX	Sage Gold Inc.
SGZ	Sego Resources Inc.
SH	Southern Hemisphere Mining Limited
SHG	Shield Gold Inc.
SHI	Sunrise Resources Ltd
SHJ	Shoshoni Gold Ltd
SHL	Spruce Ridge Resources Ltd
SI	Stratton Resources Inc
SIO	Sensio Technologies Inc.
SIP	Sniper Resources Ltd.
SIR	Serengeti Resources Inc.
SJR.A	Shaw Communications Inc.
SKE	Skeena Resources Limited
SKO	Stream Oil And Gas Ltd.
SKP	Strikepoint Gold Inc.
SKY	Stikine Energy Corp.
SLD	Solid Gold Resources Corp
SLG	Sterling Resources Ltd
SLI	St. Elias Mines Ltd.
SLK.P	Silk Road Energy Inc
SLM	Slater Mining Corporation
SLN	Epals Corporation
