Symbol	Description
AXM	Axmin Inc.
AXQ	Axe Exploration Inc
AYA	Amaya Gaming Group Inc.
AYA.WT	Amaya Gaming Group Inc Wts
AYN	Anthem Resources Inc
AZA	Azabache Energy Inc.
AZL	Azul Ventures Inc
AZM	Azimut Exploration Inc.
AZN	Arcturus Ventures Inc.
AZU	Azure Resources Corporation
AZX	Alexandria Minerals Corporation
B	Bcm Resources Corporation
BAR	Balmoral Resources Ltd
BAT	Batero Gold Corp.
BAY	Aston Bay Holdings Ltd.
BBB	Brixton Metals Corporation
BBI	Blackbird Energy Inc
BBM	Brandenburg Energy Corp
BBR.H	Big Bar Resources Corporation
BBS.H	Black Bull Resources Inc
BCG	Bcgold Corp.
BCK	Blind Creek Resources Ltd
BCM	Bear Creek Mining Corp.
BCN	Bacanora Minerals Ltd
BCU	Bell Copper Corporation
BEA	Belmont Resources Inc
BEL	Belvedere Resources Ltd
BEN	Butte Energy Inc
BER	Be Resources Inc.
BET	Bethpage Capital Corp
BEX	Benton Capital Corp.
BEY	Blacksteel Energy Inc.
BFD	Beaufield Resources Inc.
BG	Barisan Gold Corporation
BGC	Brazilian Gold Corporation
BGD	Bullion Gold Resources Corp
BGE	Bison Gold Resources Inc.
BGG	Buccaneer Gold Corp
BGL	Bandera Gold Ltd.
BGS	Baroyeca Gold And Silver Inc
BHR	Blackheath Resources Inc
BHV	Bellhaven Copper & Gold Inc.
BIO	Biosign Technologies Inc
BIT	Black Isle Resources Corp
BKM	Pacific Booker Minerals Inc.
BKR	Berkwood Resources Ltd
BKT	Brookemont Capital Inc.
BLF	Capital Blf Inc.
BLF.UN	Blf Real Estate Investment Trust
BLG	Bear Lake Gold Ltd.
BLK	Birch Lake Energy Inc
BLL.H	Ballyliffin Capital Corp
BLM	Blumetric Environmental Inc
BLN	Blackline Gps Corp
BLT	Brilliant Mining Corp.
BLV	Blackstone Ventures Inc
BMA	Bama Gold Corp
BMK	Macdonald Mines Expl Ltd.
BML	Barker Minerals Ltd
BMN.A	Beaumont Select Corporation
BMR.H	Bradmer Pharmaceuticals Inc
BMW	Brand Marvel Worldwide Consumer Products
BN.H	Bluenose Gold Corp
BNL.P	Branco Resources Ltd
BNR	Brionor Resources Inc.
BNX.A	Bnp Resources Inc Cl A
BOB	Global Hunter Corp.
BOE	Americas Petrogas Inc.
BOL	Bold Ventures Inc.
BON	Bonaparte Cap Corp
BOR	Border Petroleum Corp
BOV.H	Bi-Optic Ventures Inc.
BOW	Bowmore Exploration Ltd
BOZ	Banks Island Gold Ltd
BP.H	Bella Resources Inc
BPE	Brightpath Early Learning Inc
BPL	Bluedrop Performance Learning Inc
BPM	Bralorne Gold Mines Ltd.
BPU	Boss Power Corp.
BRA	Brades Resource Corp
BRG	Brigadier Gold Ltd
BRI	Brazil Resources Inc
BRL	Bearclaw Capital Corp
BRM	Biorem Inc.
BRN.PR.A	Brookfield Investments Corp. Preferred A
BRO.H	Barksdale Capital Corp
BRR	Britannica Res Corp
BRS	Bonanza Resources Corp
BRV.H	Brs Ventures Ltd
BRX	Brixton Energy Corp
BRZ	Bearing Resources Ltd
BSG.P	Black Springs Capital Corp
BSH	Bayshore Petroleum Corp.
BSK	Blue Sky Uranium Corp.
BSP	Big Sky Petroleum Corp
BSR	Bluestone Resources Inc
BTC	Benton Resources Corp.
BTI	Bioasis Technologies Inc.
BTM.H	Bitumen Capital Inc.
BTR	Bonterra Resources Inc.
BTT	Bitterroot Resources Ltd
BTV	Bluerush Media Group Corp
BUD	Satori Resources Inc
BUL	Bullman Minerals Inc
BVA	Bravada Gold Corporation
BVE	Burnstone Ventures Inc
BVO	Bevo Agro Inc.
BWN	Brownstone Energy Inc
BWR	Black Widow Resources Inc
BXR	Blue River Resources Ltd
BXV	Beatrix Ventures Inc
BXX	Boxxer Gold Corp.
BYM.H	Baymount Incorporated
BYN	Banyan Coast Capital Corp
BYU	Bayswater Uranium Corporation
BYV	Bayfield Ventures Corp.
BZ	Benz Capital Corp
BZZ.H	Buzz Telecommunications Service
C	Celeste Copper Corporation
CAA	Callinan Royalties Corp
CAD	Colonial Coal International Corp.
CAF	Canaf Group Inc
CAP	Castle Peak Mining Ltd
CAT	Chimata Gold Corp
CAU.H	China Goldcorp Ltd.
CAW.P	Crowsnest Acquisition Corp
CAY	Cache Exploration Inc.
CBA	Champion Bear Res Ltd
CBC	Central Resources Corp.
CBE	Cabo Drilling Corp.
CBG	Chibougamau Independent Mines I
CBI	Colibri Resource Corp.
CBJ	Cb Gold Inc
CBS	Bard Ventures Ltd.
CBV	Cobra Venture Corporation
CBX	Cortex Business Solutions Inc.
CC	Cascade Resources Ltd.
CCB	Canada Carbon Inc
CCC	Cornerstone Metals Inc
CCD	Cascadero Copper Corp
CCE	Commerce Resources Corp.
CCF	Cobalt Coal Ltd
CCK	Canada Coal Inc
CCN	Concordia Resource Corp
CCR	Cascadia Reso
CCU	Columbus Copper Corporation
CCW	Cct Capital Ltd.
CCY	Catalyst Copper Corp
CD	Cantex Mine Development Corp
CDA	Canuc Resources Corporation [Ti
CDB	Cordoba Minerals Corp
CDC	Cadillac Ventures Inc
CDE	Challenger Deep Resources Corp
CDN	Canadream Corporation
CDX	Cassidy Gold Corp
CE	Canada Energy Partners Inc.
CEB	Ceiba Energy Services Inc
CEC	Compliance Energy Corp
CEM	Constantine Metal Resources Ltd.
CEV	Cap Ex Ventures Ltd
CEX	Contact Exploration Inc.
CEY	Century Energy Ltd
CFA.H	Clearframe Solutions Corp
CFF	Conifex Timber Inc
CFI	Canada Fluorspar Inc.
CFL	Cerf Incorporated
CFM	Confederation Minerals Ltd.
CFO	Clifton Star Resources Inc
CFY	Changfeng Energy Inc
CGD	Carlin Gold Corp.
CGE	Corex Gold Corp
CGM	California Gold Mining Inc
CGP	Cornerstone Capital Resources Inc
CGT	Columbus Gold Corporation
CGW	Corazon Gold Corp
CH	Urban Select Captial Corp
CHN	China Education Resources Inc.
CHO	China Health Labs And Diagnostics Ltd
CHQ	Carrus Capital Corporation
CHU	Channel Resources Ltd.
CHY	Cypress Hills Resource Corp.
CID	Cicada Ventures Ltd.
CIL	Canoel International Energy Ltd.
CIN	Canadian Intl Minerals Inc
CIO	Central Iron Ore Limited
CJC	Canada Rare Earths Inc
CJX.P	Caymus Resources Inc Com Npv
CKB	Calico Resources Corp
CKC	Cricket Resources Inc.
CKG	Chesapeake Gold Corp.
CKK	Cordy Oilfield Services Inc
CKR	Caribou Copper Resources Ltd
CKX	Csm Systems Corp
CL	Crailar Technologies Inc
CL.DB	Crailar Technologies Inc 10 Pct
CLB	Colombia Crest Gold Corp
CLD	Cangold Ltd.
CLH	Coral Gold Resources Ltd.
CLI	Clearford Industries Inc.
CLX	Columbus Exploration Corporatio
CLZ	Canasil Resources Inc.
CMA	Cream Minerals Ltd.
CMB	Cmc Metals Ltd.
CMD	Commander Resources Ltd
CMI	C-Com Satellite Systems Inc.
CMJ	Colombian Mines Corporation
CMM	Castle Mountain Mining Company
CMO	Cliffmont Resources Ltd.
CMU	Comet Industries Ltd.
CMV	China Minerals Mining Corp
CN	Condor Resources Inc.
CNA	Canasia Financial Inc
CNC	Canyon Copper Corp
CNG	Canadian Mining Company Inc.
CNO	California Nanotechnologies Cor
CNP	Cannon Point Resources Ltd
CNX	Callinex Mines Inc
CNY	Cancana Resources Corp
CO	Canadian Orebodies Inc.
COD	Coastal Gold Corp
COE	Canam Coal Corp.
COL	Copper North Mining Corp
COO	Offsetters Climate Solutions In
COQ	Rooster Energy Ltd
COR	Camino Minerals Corporation
COT	Critical Outcome Technologies Inc.
COU	Cougar Minerals Corp
COV	Covalon Tech Ltd.
CPC	Canadian Platinum Corp
CPE.H	Capital Pro Egaux Inc
CPP	Capgain Properties Inc
CPQ.P	Cinaport Acquisition Corp
CPS	Claim Post Resources Inc
CPV	Copper Creek Gold Corp.
CQM	Canadian Quantum Energy Corporation
CQR	Conquest Resources Ltd.
CQV	Canadian Imperial Venture Corp.
CQX	Cadillac Mining Corp
CRB	Cariboo Rose Resources Ltd
CRD	Coronado Resources Ltd.
CRE	Critical Elements Corporation
CRF	Coronet Metals Inc
CRI	Castle Resources Inc.
CRO	Canadian Arrow Mines Ltd.
CRS	Cardiff Energy Corp
CRU.H	Cameo Resources Corp
CRX	Cerro Mining Corp
